MAJOR_GROUP,TAXON,STATE,ORIGIN,SOURCE,NO.,SIZE_CLASS_[MM],MEAN_LENGTH_[MM],TOTAL_WET_WT_[MG],TOTAL_DRY_WT_[MG],INDIVIDUAL_WET_WT_[MG],INDIVIDUAL_DRY_WT_[MG]
Arachnida, Pseudoscorpiones; Macrochernes attenuatus; ,adult,LEF El Verde [1996],f,17,3.5-4.5,4,63,20,3.71,1.18
Arachnida, Pseudoscorpiones; Macrochernes attenuatus; ,adult,LEF El Verde [1996],a,27,4,4,77.49,21.1,2.87,0.781
Arachnida, Scorpiones; Tityus obtusus; ,adult,LEF El Verde [2001],f,1,32,32,238,76,238,76
Arachnida, Scorpiones; Tityus obtusus; ,adult,LEF El Verde [1996],f,1,50,50,609,247,609,247
Insecta, Coleoptera; Xyleborus sp.; ,adult,LEF El Verde [1999],f,78,2.4,2.4,86,36,1.1,0.462
Insecta, Coleoptera; Xyleborus sp.; ,adult,LEF El Verde [1999],f,69,2.4,2.4,,31,,0.449
Insecta, Coleoptera; Xyleborus sp.; ,adult,LEF El Verde [1999],f,78,2.4,2.4,85,34,1.09,0.436
Insecta, Coleoptera; Xyleborus sp.; ,adult,LEF El Verde [1999],f,185,2.4,2.4,,75,,0.405
Insecta, Coleoptera; Diastotes sp.; ,adult,LEF El Verde [1996],a,60,3-Feb,2.5,12,3.6,0.2,0.06
Insecta, Coleoptera; Curculionidae; ,adult,LEF El Verde [],f,1,2.5,2.5,2,,2,
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [1996],a,10,2.6,2.6,34,5.1,3.4,0.51
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [1996],f,20,2.6,2.6,59,10,2.95,0.5
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [],f,1,2.6,2.6,3,0.5,3,0.5
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [2004],f,4,2.6,2.6,6,,1.5,
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [2004],f,2,2.6,2.6,3,,1.5,
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [2004],f,5,2.6,2.6,9,,1.8,
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [2004],f,6,2.6,2.6,11,,1.83,
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [2004],f,2,2.6,2.6,4,,2,
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [],f,1,2.6,2.6,2,,2,
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [2004],f,18,2.6,2.6,37,,2.06,
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [2004],f,13,2.6,2.6,27,,2.08,
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [2004],a,21,2.6,2.6,44,,2.1,
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [2004],f,6,2.6,2.6,13,,2.17,
Insecta, Coleoptera; Omicrus ingens; ,adult,LEF El Verde [],f,6,2.6,2.6,14,,2.33,
Insecta, Coleoptera; Curculionidae; ,adult,LEF El Verde [],f,1,3,3,1,,1,
Insecta, Coleoptera; Curculionidae; ,adult,LEF El Verde [],f,1,3,3,2,,2,
Insecta, Coleoptera; Curculionidae; ,adult,LEF El Verde [],f,1,3,3,2,,2,
Insecta, Coleoptera; Curculionidae; ,adult,LEF El Verde [],f,1,3,3,6,,6,
Insecta, Coleoptera; Curculionidae; ,adult,LEF El Verde [],f,2,4,4,10,,5,
Insecta, Coleoptera; Curculionidae; ,adult,LEF El Verde [],f,1,4,4,6,,6,
Insecta, Coleoptera; Platypodius sp.; ,adult,LEF El Verde [1999],f,22,4.25,4.25,,34,,1.55
Insecta, Coleoptera; Platypodius sp.; ,adult,LEF El Verde [1999],f,5,4.25,4.25,18,6,3.6,1.2
Insecta, Coleoptera; Staphylinidae [black]; ,adult,LEF El Verde [2001],f,5,5,5,,7,,1.4
Insecta, Coleoptera; Curculionidae; ,adult,LEF El Verde [],f,1,5,5,8,,8,
Insecta, Coleoptera; Curculionidae; ,adult,LEF El Verde [],f,1,8,8,62,,62,
Insecta, Coleoptera; unident.; ,adult,LEF El Verde [],f,1,8.5,8.5,20,4.5,20,4.5
Insecta, Coleoptera; Callopisma borencona; ,adult,LEF El Verde [],h,1,12,12,,12,,12
Insecta, Coleoptera; Callopisma borencona; ,adult,LEF El Verde [],h,1,12,12,,11,,11
Insecta, Coleoptera; Callopisma borencona; ,adult,LEF El Verde [],f,1,13,13,51,18,51,18
Insecta, Coleoptera; Cerambycidae; ,adult,LEF El Verde [],f,1,15,15,64,30,64,30
Insecta, Coleoptera; Elateridae; ,adult,LEF El Verde [],f,1,16,16,139,70,139,70
Insecta, Coleoptera; Platycrepidius sp.; ,adult,LEF El Verde [2004],f,1,19,19,225,,225,
Insecta, Coleoptera; Phyllophagus portoricensis; ,adult,LEF El Verde [],h,1,21,21,,118,,118
Insecta, Coleoptera; Phyllophagus portoricensis; ,adult,LEF El Verde [],f,1,22,22,830,207,830,207
Insecta, Coleoptera; Phyllophagus portoricensis; ,adult,LEF El Verde [],f,1,22,22,863,197,863,197
Insecta, Coleoptera; Phyllophagus portoricensis; ,adult,LEF El Verde [],h,1,23,23,,304,,304
Insecta, Coleoptera; Chlorida festiva; ,adult,LEF El Verde [1999],f,1,23,23,,176,,176
Insecta, Coleoptera; Phyllophagus portoricensis; ,adult,LEF El Verde [1996],a,1,23,23,1290,146.7,1290,147
Insecta, Coleoptera; Phyllophagus portoricensis; ,adult,LEF El Verde [],h,1,24,24,,382,,382
Insecta, Coleoptera; Phyllophagus portoricensis; ,adult,LEF El Verde [],f,1,24,24,1056,329,1056,329
Insecta, Coleoptera; Phyllophagus portoricensis; ,adult,LEF El Verde [1996],a,1,24,24,1074,135.4,1074,135
Insecta, Coleoptera; Phyllophagus portoricensis; ,adult,LEF El Verde [2004],f,1,24,24,940,,940,
Insecta, Coleoptera; Phyllophagus portoricensis; ,adult,LEF El Verde [1996],f,1,25,25,1197,350,1197,350
Insecta, Coleoptera; Phyllophagus portoricensis; ,adult,LEF El Verde [],f,1,25,25,1055,272,1055,272
Insecta, Coleoptera; Chlorida festiva; ,adult,LEF El Verde [1999],f,1,26,26,492,210,492,210
Insecta, Coleoptera; Callipogon proletarius; ,adult,LEF El Verde [],h,1,55,55,,1793,,1793
Insecta, Coleoptera; Callipogon proletarius; ,adult,LEF El Verde [],h,1,65,65,,1832,,1832
Insecta, Coleoptera; Callipogon proletarius; ,adult,LEF El Verde [],f,1,75,75,4225,,4225,
Insecta, Diptera; Psychodidae; ,adult,LEF El Verde [2001],f,75,1,1,,3,,0.04
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,19,1.5,1.5,7,2,0.368,0.105
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,58,1.5,1.5,,6,,0.103
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,25,1.8,1.8,8,3,0.32,0.12
Insecta, Diptera; black flies; ,adult,LEF El Verde [2001],f,52,1.9,1.9,19,7,0.365,0.135
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,35,2,2,,8,,0.229
Insecta, Diptera; Diptera; ,adult,LEF El Verde [1999],f,53,2,2,,11,,0.208
Insecta, Diptera; red-eyed flies; ,adult,LEF El Verde [2001],f,50,2,2,25,9,0.5,0.18
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,24,2,2,11,4,0.458,0.167
Insecta, Diptera; red eyes; ,adult,LEF El Verde [2001],f,78,2,2,,12,,0.154
Insecta, Diptera; red-eyed flies; ,adult,LEF El Verde [2001],f,57,2,2,26,8,0.456,0.14
Insecta, Diptera; red-eyed flies; ,adult,LEF El Verde [2001],f,50,2,2,18,7,0.36,0.14
Insecta, Diptera; red-eyed flies; ,adult,LEF El Verde [2001],f,23,2,2,10,3,0.435,0.13
Insecta, Diptera; various unident.; ,adult,LEF El Verde [2001],f,39,2,2,,5,,0.128
Insecta, Diptera; black flies; ,adult,LEF El Verde [2001],f,37,2.2,2.2,31,12,0.838,0.324
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,25,2.2,2.2,17,5,0.68,0.2
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,12,2.5,2.5,,4,,0.333
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,11,2.5,2.5,9,3,0.818,0.273
Insecta, Diptera; black flies; ,adult,LEF El Verde [2001],f,17,2.5,2.5,10,3,0.588,0.176
Insecta, Diptera; black flies; ,adult,LEF El Verde [2001],f,24,2.5,2.5,12,4,0.5,0.167
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,6,3,3,,4,,0.667
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,8,3,3,,5,,0.625
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,5,3.5,3.5,,5,,1
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,1,4,4,5,1.5,5,1.5
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,5,4,4,,7,,1.4
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,5,4,4,,6,,1.2
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,4,4.5,4.5,21,7,5.25,1.75
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,6,5,5,,10,,1.67
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,1,6,6,14,4,14,4
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,1,6,6,,4,,4
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,2,6,6,25,6,12.5,3
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,3,6,6,16,5,5.33,1.67
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,1,7,7,,7,,7
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,1,7.5,7.5,25,8,25,8
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,1,8,8,19,6,19,6
Insecta, Diptera; Muscidae; ,adult,LEF El Verde [2001],f,1,8,8,17,4,17,4
Insecta, Formicidae; Solenopsis corticalis; ,adult,LEF El Verde [2006],a,236,1.2,1.2,,4,,0.017
Insecta, Formicidae; Solenopsis corticalis; ,adult,LEF El Verde [2006],a,50,1.2,1.2,,0.72,,0.014
Insecta, Formicidae; Wasmannia auropunctata; ,adult,LEF El Verde [2006],a,150,1.4,1.4,,4.25,,0.028
Insecta, Formicidae; Wasmannia auropunctata; ,adult,LEF El Verde [2006],a,302,1.4,1.4,,7,,0.023
Insecta, Formicidae; Pheiodole fallax; ,adult,LEF El Verde [2006],a,110,1.5,1.5,,5,,0.045
Insecta, Formicidae; Strumigenys rogeri; ,adult,LEF El Verde [2006],a,79,1.6,1.6,,3,,0.038
Insecta, Formicidae; unidentified ants; ,adult,San Juan;  Jardin Botanico [2006],f,20,2.4,2.4,,2,,0.1
Insecta, Formicidae; unidentified ants; ,adult,San Juan;  Jardin Botanico [2006],f,143,3,3,,35,,0.245
Insecta, Formicidae; unidentified ants; ,adult,San Juan;  Jardin Botanico [2006],f,26,4,4,,12,,0.462
Insecta, Formicidae; unidentified ants; ,adult,San Juan;  Jardin Botanico [2006],f,2,5,5,,2,,1
Insecta, Hemiptera; Miridae; ,adult,LEF El Verde [1996],a,20,2.25,2.25,21,4.6,1.05,0.23
Insecta, Hemiptera; Lygidae; ,adult,LEF El Verde [2001],f,6,4,4,16,5,2.67,0.833
Insecta, Hemiptera; Lygidae; ,adult,LEF El Verde [2001],f,19,4.5,4.5,52,18,2.74,0.947
Insecta, Hemiptera; Lygidae; ,adult,LEF El Verde [2001],f,9,4.5,4.5,,6,,0.667
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,30,2,2,,8,,0.267
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,27,2,2,9,3,0.333,0.111
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,35,2,2,,3,,0.086
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,59,2,2,17,5,0.288,0.085
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,7,3,3,13,5,1.86,0.714
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,12,3,3,,8,,0.667
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,17,3,3,,11,,0.647
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,16,3.5,3.5,43,14,2.69,0.875
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,29,3.5,3.5,,23,,0.793
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,3,4.5,4.5,,4,,1.33
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,2,5,5,18,6,9,3
Insecta, Homoptera; Hoppers; ,adult,LEF El Verde [2001],f,3,5,5,,7,,2.33
Insecta, Homoptera; Hopper [flat green]; ,adult,LEF El Verde [2001],f,3,6,6,,4,,1.33
Insecta, Orthoptera; Neoblatella vomeri; ,adult,LEF El Verde [],f,1,12,12,69,14,69,14
Insecta, Orthoptera; Neoblatella vomeri; ,adult,LEF El Verde [1996],f,1,12,12,74,13,74,13
Insecta, Orthoptera; Neoblatella vomeri; ,adult,LEF El Verde [],f,1,12,12,74,13,74,13
Insecta, Orthoptera; Neoblatella vomeri; ,adult,LEF El Verde [2004],f,1,12,12,66,,66,
Insecta, Orthoptera; Pelmatosilpha coriacea; ,adult,LEF El Verde [1996],f,1,18,18,315,84,315,84
Insecta, Orthoptera; Cockroach; ,adult,LEF El Verde [],f,1,20,20,411,71,411,71
Insecta, Orthoptera; Epilampra wheeleri; ,adult,LEF El Verde [],h,1,21,21,,72,,72
Insecta, Orthoptera; Epilampra wheeleri; ,adult,LEF El Verde [],h,1,22,22,,115,,115
Insecta, Orthoptera; Epilampra wheeleri; ,adult,LEF El Verde [],h,1,22,22,,96,,96
Insecta, Orthoptera; Epilampra wheeleri; ,adult,LEF El Verde [],f,1,23,23,343,93,343,93
Insecta, Orthoptera; Epilampra wheeleri; ,adult,LEF El Verde [],f,1,23,23,370,,370,
Insecta, Orthoptera; Epilampra wheeleri; ,adult,LEF El Verde [],f,1,23,23,375,,375,
Insecta, Orthoptera; Cockroach; ,adult,LEF El Verde [1996],a,3,21-27,24,1991,447,664,149
Insecta, Orthoptera; Pelmatosilpha coriacea; ,adult,LEF El Verde [],f,1,26,26,835,237,835,237
Insecta, Orthoptera; Pelmatosilpha coriacea; ,adult,LEF El Verde [],f,1,27,27,860,265,860,265
Insecta, Orthoptera; Pelmatosilpha coriacea; ,adult,LEF El Verde [],h,1,32,32,,497,,497
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,5,5,,3.2,,3.2
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,5,5,,2.4,,2.4
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,5,5,,2.4,,2.4
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,6,6,,4.6,,4.6
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,6,6,,3.2,,3.2
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,6,6,,2.6,,2.6
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,7,7,,6.2,,6.2
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,7,7,,4.7,,4.7
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,8,8,,11.2,,11.2
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,8,8,,10.4,,10.4
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,8,8,,9.4,,9.4
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,8,8,,8.8,,8.8
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,8,8,,8.3,,8.3
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,9,9,,16.6,,16.6
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,9,9,,12.8,,12.8
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,9,9,,11,,11
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,9,9,,10.2,,10.2
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,9,9,,9.6,,9.6
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,10,10,,12.3,,12.3
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,10,10,,10,,10
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,11,11,,32.4,,32.4
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,11,11,,30.4,,30.4
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,11,11,,23.6,,23.6
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,11,11,,20.2,,20.2
Mollusca, Gastropoda; Slug [sub-order Sigmurethra]; ,adult,Edinburgh UK [2002],f,1,11,11,,19.6,,19.6
