"Date","Site","Array","Trap","Predator","Notes","taxon","count"
2010-10-21,"GWA2","1","B4","N",NA,"HYMA",20
2010-10-21,"GWA2","2","B4","N",NA,"COLE",4
2010-10-21,"GWA2","2","B4","N",NA,"CRUS",1
2010-10-21,"GWA2","2","B4","N",NA,"HYMA",50
2010-10-21,"GWA2","2","B4","N",NA,"SCOR",2
2010-11-03,"GWA1","1","C4","N",NA,"COLE",7
2010-11-03,"GWA1","2","C4","N",NA,"COLE",2
2010-11-03,"GWA2","1","C4","N",NA,"COLE",5
2010-11-03,"GWA2","1","C4","N",NA,"HYMA",1
2010-11-03,"GWA2","2","C4","Y",NA,"COLE",3
2010-11-04,"GWA1","1","C4","N",NA,"COLE",3
2010-11-04,"GWA2","1","C4","N",NA,"COLE",1
2010-11-04,"GWA2","1","C4","N",NA,"HYMA",2
2010-11-04,"GWA2","2","C4","N",NA,"COLE",1
2010-11-05,"GWA1","1","C4","N",NA,"COLE",5
2010-11-05,"GWA1","2","C4","N",NA,"COLE",1
2010-11-05,"GWA2","1","C4","N",NA,"HYMA",2
2010-11-05,"GWA2","2","C4","N",NA,"COLE",1
2010-11-05,"GWA2","2","C4","N",NA,"CRUS",1
2010-11-05,"GWA2","2","C4","N",NA,"HYMA",2
2011-01-20,"GWA2","1","A4","N",NA,"COLE",1
2011-01-23,"GWA1","2","C4","N",NA,"ARAN",1
2011-01-23,"GWA1","2","C4","N",NA,"COLE",1
2011-01-23,"GWA1","2","C4","N",NA,"HYMA",1
2011-01-23,"GWA2","1","C4","N",NA,"COLE",1
2011-01-23,"GWA2","2","C4","N",NA,"COLE",1
2011-01-24,"GWA1","1","C4","N",NA,"COLE",1
2011-01-24,"GWA1","1","C4","N",NA,"ORTH",1
2011-01-24,"GWA2","1","C4","N",NA,"COLE",2
2011-01-25,"GWA1","1","C4","Y","larvae","UNKI",1
2011-01-25,"GWA1","2","C4","N",NA,"HYMA",1
2011-01-25,"GWA2","1","C4","N",NA,"COLE",1
2011-01-26,"GWA1","1","C4","N","UNK(larvae)","COLE",2
2011-01-26,"GWA1","1","C4","N","UNK(larvae)","UNKI",2
2011-01-26,"GWA1","2","C4","N",NA,"COLE",1
2011-01-26,"GWA2","1","C4","N","UNK(larvae)","ARAN",1
2011-01-26,"GWA2","1","C4","N","UNK(larvae)","UNKI",2
2011-01-26,"GWA2","2","C4","N",NA,"COLE",3
2011-01-26,"GWA2","2","C4","N",NA,"THYS",1
2011-01-27,"GWA2","2","B4","N","UNK(larvae)","COLE",2
2011-01-27,"GWA2","2","B4","N","UNK(larvae)","UNKI",1
2011-01-28,"GWA2","2","B4","N",NA,"COLE",1
2011-02-11,"GWA1","1","C4","N","LEPI(larvae)","COLE",2
2011-02-11,"GWA1","1","C4","N","LEPI(larvae)","LEPI",11
2011-02-11,"GWA1","2","C4","N","LEPI(larvae)","LEPI",2
2011-02-11,"GWA2","1","C4","N","LEPI(larvae)","LEPI",8
2011-02-11,"GWA2","2","C4","N",NA,"COLE",5
2011-03-01,"GWA2","1","A4","N",NA,"COLE",1
2011-03-01,"GWA2","2","A4","N",NA,"COLE",1
2011-03-02,"GWA2","2","A4","N",NA,"COLE",1
2011-03-03,"GWA1","1","A4","N",NA,"COLE",1
2011-03-03,"GWA2","2","A4","N","one COLE was larvae","COLE",2
2011-03-04,"GWA2","1","A4","N",NA,"COLE",1
2011-03-04,"GWA2","2","A4","N","larvae","COLE",1
2011-03-08,"GWA1","1","B4","N",NA,"COLE",1
2011-03-08,"GWA1","2","B4","N",NA,"COLE",1
2011-03-08,"GWA2","1","B4","N",NA,"ARAN",2
2011-03-08,"GWA2","2","B4","N",NA,"COLE",2
2011-03-09,"GWA1","1","B4","N",NA,"COLE",1
2011-03-09,"GWA2","1","B4","N",NA,"COLE",2
2011-03-09,"GWA2","2","B4","N",NA,"COLE",1
2011-03-10,"GWA1","2","B4","N","larvae","LEPI",1
2011-03-10,"GWA2","1","B4","N",NA,"COLE",1
2011-03-22,"GWA1","2","C4","N","dead","COLE",1
2011-03-23,"GWA1","1","C4","N",NA,"HYMA",2
2011-03-23,"GWA1","2","C4","N","LEPI(larvae)","COLE",2
2011-03-23,"GWA1","2","C4","N","LEPI(larvae)","LEPI",1
2011-03-24,"GWA1","1","C4","Y",NA,"ARAN",1
2011-03-24,"GWA1","1","C4","Y",NA,"COLE",1
2011-03-24,"GWA1","2","C4","N","UNK(wormlike, hard/scaly, not soft","COLE",2
2011-03-24,"GWA1","2","C4","N","UNK(wormlike, hard/scaly, not soft","UNKI",1
2011-03-24,"GWA2","1","C4","N","LEPI(larvae)","ARAN",1
2011-03-24,"GWA2","1","C4","N","LEPI(larvae)","HYMA",2
2011-03-24,"GWA2","1","C4","N","LEPI(larvae)","LEPI",1
2011-03-24,"GWA2","2","C4","N","LEPI(larvae)","ARAN",2
2011-03-24,"GWA2","2","C4","N","LEPI(larvae)","COLE",1
2011-03-24,"GWA2","2","C4","N","LEPI(larvae)","HYMA",1
2011-03-24,"GWA2","2","C4","N","LEPI(larvae)","LEPI",2
2011-03-25,"GWA1","1","C4","N",NA,"ARAN",1
2011-03-25,"GWA1","1","C4","N",NA,"COLE",2
2011-03-25,"GWA1","1","C4","N",NA,"HYMA",1
2011-03-25,"GWA1","1","C4","N",NA,"MANT",1
2011-03-25,"GWA1","2","C4","N",NA,"ARAN",1
2011-03-25,"GWA1","2","C4","N",NA,"COLE",3
2011-03-25,"GWA2","2","C4","N",NA,"ARAN",1
2011-03-25,"GWA2","2","C4","N",NA,"LEPI",1
2011-03-26,"GWA1","1","C4","N","LEPI(larvae)","COLE",4
2011-03-26,"GWA1","1","C4","N","LEPI(larvae)","HYMA",3
2011-03-26,"GWA1","1","C4","N","LEPI(larvae)","LEPI",1
2011-03-26,"GWA1","2","C4","N",NA,"COLE",1
2011-03-26,"GWA2","1","C4","N",NA,"COLE",2
2011-03-26,"GWA2","1","C4","N",NA,"HYMA",3
2011-03-26,"GWA2","2","C4","Y",NA,"HYMA",2
2011-03-26,"GWA2","2","C4","Y",NA,"LEPI",1
2011-03-27,"GWA1","1","C4","N",NA,"COLE",6
2011-03-27,"GWA1","2","C4","N",NA,"COLE",5
2011-03-27,"GWA2","1","C4","N",NA,"COLE",5
2011-03-27,"GWA2","1","C4","N",NA,"HYMA",16
2011-03-27,"GWA2","2","C4","N",NA,"COLE",13
2011-03-27,"GWA2","2","C4","N",NA,"ORTH",1
2011-03-28,"GWA1","1","A4","N",NA,"THYS",1
2011-03-28,"GWA1","2","A4","N",NA,"COLE",4
2011-03-28,"GWA2","1","A4","N",NA,"COLE",3
2011-03-28,"GWA2","1","A4","N",NA,"HYMA",5
2011-03-28,"GWA2","2","A4","N","LEPI(larvae), MANT (dead)","HYMA",4
2011-03-28,"GWA2","2","A4","N","LEPI(larvae), MANT (dead)","LEPI",3
2011-03-28,"GWA2","2","A4","N","LEPI(larvae), MANT (dead)","MANT",1
2011-03-29,"GWA1","1","A4","N",NA,"ARAN",1
2011-03-29,"GWA1","2","A4","N",NA,"COLE",6
2011-03-29,"GWA1","2","A4","N",NA,"HYMB",1
2011-03-29,"GWA1","2","A4","N",NA,"SOLI",1
2011-03-29,"GWA2","1","A4","N",NA,"COLE",1
2011-03-29,"GWA2","1","A4","N",NA,"HYMA",3
2011-03-29,"GWA2","2","A4","N",NA,"COLE",3
2011-03-29,"GWA2","2","A4","N",NA,"ORTH",1
2011-03-29,"GWA2","2","A4","N",NA,"SCOR",1
2011-03-30,"GWA1","1","A4","Y",NA,"ARAN",1
2011-03-30,"GWA1","1","A4","Y",NA,"COLE",6
2011-03-30,"GWA1","2","A4","N","LEPI(larvae)","COLE",2
2011-03-30,"GWA1","2","A4","N","LEPI(larvae)","LEPI",1
2011-03-30,"GWA1","2","A4","N","LEPI(larvae)","ORTH",1
2011-03-30,"GWA2","1","A4","N",NA,"COLE",2
2011-03-30,"GWA2","1","A4","N",NA,"HYMA",3
2011-03-30,"GWA2","1","A4","N",NA,"ORTH",2
2011-03-30,"GWA2","2","A4","N","ORTH(dead), LEPI (larvae)","HYMA",1
2011-03-30,"GWA2","2","A4","N","ORTH(dead), LEPI (larvae)","LEPI",1
2011-03-30,"GWA2","2","A4","N","ORTH(dead), LEPI (larvae)","ORTH",1
2011-03-31,"GWA1","1","A4","Y",NA,"COLE",2
2011-03-31,"GWA1","1","A4","Y",NA,"ORTH",1
2011-03-31,"GWA1","2","A4","N",NA,"COLE",4
2011-03-31,"GWA1","2","A4","N",NA,"HYMA",2
2011-03-31,"GWA2","1","A4","N",NA,"ARAN",1
2011-03-31,"GWA2","1","A4","N",NA,"COLE",2
2011-03-31,"GWA2","1","A4","N",NA,"HYMA",3
2011-03-31,"GWA2","2","A4","N","LEPI(larvae)","ARAN",1
2011-03-31,"GWA2","2","A4","N","LEPI(larvae)","COLE",4
2011-03-31,"GWA2","2","A4","N","LEPI(larvae)","HYMB",1
2011-03-31,"GWA2","2","A4","N","LEPI(larvae)","LEPI",1
2011-04-01,"GWA1","1","A4","N",NA,"COLE",10
2011-04-01,"GWA1","1","A4","N",NA,"HYMA",1
2011-04-01,"GWA1","1","A4","N",NA,"ORTH",1
2011-04-01,"GWA1","1","A4","N",NA,"SCOR",1
2011-04-01,"GWA1","2","A4","N",NA,"ARAN",1
2011-04-01,"GWA1","2","A4","N",NA,"CHIL",1
2011-04-01,"GWA1","2","A4","N",NA,"COLE",7
2011-04-01,"GWA1","2","A4","N",NA,"HYMA",1
2011-04-01,"GWA1","2","A4","N",NA,"HYMB",1
2011-04-01,"GWA2","1","A4","N",NA,"ARAN",2
2011-04-01,"GWA2","1","A4","N",NA,"COLE",6
2011-04-01,"GWA2","1","A4","N",NA,"HYMA",11
2011-04-01,"GWA2","1","A4","N",NA,"ORTH",1
2011-04-01,"GWA2","2","A4","N",NA,"ARAN",1
2011-04-01,"GWA2","2","A4","N",NA,"COLE",6
2011-04-01,"GWA2","2","A4","N",NA,"HYMA",5
2011-04-05,"GWA1","1","B4","N",NA,"ARAN",1
2011-04-05,"GWA1","1","B4","N",NA,"HYMA",2
2011-04-05,"GWA1","1","B4","N",NA,"MANT",2
2011-04-05,"GWA1","2","B4","Y",NA,"HYMA",1
2011-04-05,"GWA2","1","B4","N",NA,"SCOR",1
2011-04-05,"GWA2","2","B4","Y",NA,"COLE",4
2011-04-05,"GWA2","2","B4","Y",NA,"HYMA",3
2011-04-05,"GWA2","2","B4","Y",NA,"HYMB",1
2011-04-06,"GWA1","1","B4","N",NA,"COLE",1
2011-04-06,"GWA1","1","B4","N",NA,"ORTH",4
2011-04-06,"GWA1","2","B4","N",NA,"ARAN",3
2011-04-06,"GWA1","2","B4","N",NA,"COLE",3
2011-04-06,"GWA2","1","B4","N",NA,"COLE",3
2011-04-06,"GWA2","1","B4","N",NA,"HYMA",20
2011-04-06,"GWA2","2","B4","N",NA,"ARAN",1
2011-04-06,"GWA2","2","B4","N",NA,"COLE",6
2011-04-06,"GWA2","2","B4","N",NA,"HYMA",2
2011-04-06,"GWA2","2","B4","N",NA,"MANT",1
2011-04-07,"GWA1","1","B4","N",NA,"ARAN",1
2011-04-07,"GWA1","1","B4","N",NA,"COLE",1
2011-04-07,"GWA1","1","B4","N",NA,"ORTH",1
2011-04-07,"GWA1","2","B4","N",NA,"ARAN",1
2011-04-07,"GWA1","2","B4","N",NA,"COLE",1
2011-04-07,"GWA1","2","B4","N",NA,"CRUS",1
2011-04-07,"GWA1","2","B4","N",NA,"HYMA",2
2011-04-07,"GWA1","2","B4","N",NA,"SOLI",1
2011-04-07,"GWA2","1","B4","N",NA,"ARAN",1
2011-04-07,"GWA2","1","B4","N",NA,"COLE",1
2011-04-07,"GWA2","1","B4","N",NA,"HYMA",10
2011-04-07,"GWA2","1","B4","N",NA,"ORTH",1
2011-04-07,"GWA2","2","B4","N",NA,"ARAN",1
2011-04-07,"GWA2","2","B4","N",NA,"COLE",4
2011-04-07,"GWA2","2","B4","N",NA,"HYMA",15
2011-04-12,"GWA1","1","C4","N",NA,"HYMA",1
2011-04-12,"GWA1","2","C4","N",NA,"ARAN",1
2011-04-12,"GWA1","2","C4","N",NA,"COLE",3
2011-04-12,"GWA1","2","C4","N",NA,"HYMA",1
2011-04-12,"GWA1","2","C4","N",NA,"ORTH",1
2011-04-12,"GWA2","1","C4","N",NA,"ARAN",2
2011-04-12,"GWA2","1","C4","N",NA,"COLE",1
2011-04-12,"GWA2","1","C4","N",NA,"HYMA",2
2011-04-12,"GWA2","2","C4","N",NA,"HYMA",1
2011-04-13,"GWA1","1","C4","N",NA,"HYMA",3
2011-04-13,"GWA1","1","C4","N",NA,"ORTH",1
2011-04-13,"GWA1","2","C4","N",NA,"COLE",9
2011-04-13,"GWA2","1","C4","N",NA,"ARAN",2
2011-04-13,"GWA2","1","C4","N",NA,"COLE",1
2011-04-13,"GWA2","1","C4","N",NA,"HYMA",3
2011-04-13,"GWA2","2","C4","Y",NA,"COLE",1
2011-04-13,"GWA2","2","C4","Y",NA,"HYMA",1
2011-04-14,"GWA1","1","C4","N",NA,"COLE",10
2011-04-14,"GWA1","1","C4","N",NA,"HYMA",1
2011-04-14,"GWA1","2","C4","N",NA,"ARAN",4
2011-04-14,"GWA1","2","C4","N",NA,"COLE",6
2011-04-14,"GWA1","2","C4","N",NA,"HYMB",1
2011-04-14,"GWA1","2","C4","N",NA,"THYS",1
2011-04-14,"GWA2","1","C4","N",NA,"COLE",8
2011-04-14,"GWA2","1","C4","N",NA,"HYMA",1
2011-04-14,"GWA2","2","C4","N",NA,"COLE",3
2011-04-14,"GWA2","2","C4","N",NA,"HYMA",2
2011-04-26,"GWA1","1","B4","N","COLE(dead)","COLE",1
2011-04-26,"GWA1","1","B4","N","COLE(dead)","HYMA",1
2011-04-26,"GWA1","2","B4","N",NA,"ARAN",4
2011-04-26,"GWA1","2","B4","N",NA,"COLE",10
2011-04-26,"GWA1","2","B4","N",NA,"HYMA",4
2011-04-26,"GWA2","1","B4","N",NA,"COLE",15
2011-04-26,"GWA2","1","B4","N",NA,"HYMA",3
2011-04-26,"GWA2","1","B4","N",NA,"ORTH",1
2011-04-26,"GWA2","2","B4","N",NA,"ARAN",1
2011-04-26,"GWA2","2","B4","N",NA,"COLE",5
2011-04-26,"GWA2","2","B4","N",NA,"CRUS",1
2011-04-26,"GWA2","2","B4","N",NA,"HYMA",2
2011-04-26,"GWA2","2","B4","N",NA,"ORTH",2
2011-04-27,"GWA1","1","B4","Y",NA,"ARAN",1
2011-04-27,"GWA1","1","B4","Y",NA,"COLE",10
2011-04-27,"GWA1","2","B4","N",NA,"COLE",6
2011-04-27,"GWA1","2","B4","N",NA,"MANT",1
2011-04-27,"GWA2","1","B4","N",NA,"ARAN",1
2011-04-27,"GWA2","1","B4","N",NA,"COLE",20
2011-04-27,"GWA2","1","B4","N",NA,"HYMB",2
2011-04-27,"GWA2","2","B4","N","ORTH(dead)","ARAN",1
2011-04-27,"GWA2","2","B4","N","ORTH(dead)","COLE",11
2011-04-27,"GWA2","2","B4","N","ORTH(dead)","HYMA",1
2011-04-27,"GWA2","2","B4","N","ORTH(dead)","HYMB",1
2011-04-27,"GWA2","2","B4","N","ORTH(dead)","ORTH",1
2011-04-28,"GWA1","1","B4","N",NA,"COLE",3
2011-04-28,"GWA1","2","B4","N",NA,"COLE",1
2011-04-28,"GWA1","2","B4","N",NA,"CRUS",1
2011-04-28,"GWA1","2","B4","N",NA,"HYMA",1
2011-04-28,"GWA1","2","B4","N",NA,"THYS",3
2011-04-28,"GWA2","1","B4","Y","2 lizards","COLE",8
2011-04-28,"GWA2","1","B4","Y","2 lizards","HYMA",1
2011-04-28,"GWA2","1","B4","Y","2 lizards","ORTH",1
2011-04-28,"GWA2","2","B4","N",NA,"ARAN",3
2011-04-28,"GWA2","2","B4","N",NA,"COLE",1
2011-04-28,"GWA2","2","B4","N",NA,"ORTH",1
2011-04-29,"GWA1","1","B4","N",NA,"COLE",3
2011-04-29,"GWA1","2","B4","N",NA,"COLE",5
2011-04-29,"GWA1","2","B4","N",NA,"HYMA",4
2011-04-29,"GWA1","2","B4","N",NA,"HYMB",1
2011-04-29,"GWA2","1","B4","Y","UTST in trap","COLE",22
2011-04-29,"GWA2","1","B4","Y","UTST in trap","HYMA",2
2011-04-29,"GWA2","2","B4","N",NA,"ARAN",3
2011-04-29,"GWA2","2","B4","N",NA,"COLE",6
2011-05-03,"GWA1","1","C4","N",NA,"COLE",6
2011-05-03,"GWA1","1","C4","N",NA,"HYMA",1
2011-05-03,"GWA1","1","C4","N",NA,"SOLI",1
2011-05-03,"GWA1","2","C4","N",NA,"ARAN",2
2011-05-03,"GWA1","2","C4","N",NA,"COLE",10
2011-05-03,"GWA1","2","C4","N",NA,"CRUS",1
2011-05-03,"GWA1","2","C4","N",NA,"ORTH",1
2011-05-03,"GWA2","1","C4","N",NA,"COLE",5
2011-05-03,"GWA2","1","C4","N",NA,"HYMA",1
2011-05-03,"GWA2","2","C4","N",NA,"COLE",5
2011-05-03,"GWA2","2","C4","N",NA,"HYMA",2
2011-05-03,"GWA2","2","C4","N",NA,"HYMB",2
2011-05-04,"GWA1","1","C4","N",NA,"COLE",7
2011-05-04,"GWA1","1","C4","N",NA,"HYMB",1
2011-05-04,"GWA1","1","C4","N",NA,"SCOR",1
2011-05-04,"GWA1","2","C4","N",NA,"ARAN",2
2011-05-04,"GWA1","2","C4","N",NA,"CHIL",1
2011-05-04,"GWA1","2","C4","N",NA,"COLE",3
2011-05-04,"GWA1","2","C4","N",NA,"HYMB",3
2011-05-04,"GWA2","1","C4","N",NA,"ARAN",1
2011-05-04,"GWA2","1","C4","N",NA,"COLE",10
2011-05-04,"GWA2","1","C4","N",NA,"HYMA",1
2011-05-04,"GWA2","1","C4","N",NA,"HYMB",1
2011-05-04,"GWA2","2","C4","N",NA,"ARAN",1
2011-05-04,"GWA2","2","C4","N",NA,"COLE",3
2011-05-04,"GWA2","2","C4","N",NA,"HYMA",2
2011-09-20,"GWA1","1","A4","Y",NA,"COLE",15
2011-09-20,"GWA1","1","A4","Y",NA,"HYMA",8
2011-09-20,"GWA1","2","A4","N","UNK tiny","COLE",5
2011-09-20,"GWA1","2","A4","N","UNK tiny","HYMA",9
2011-09-20,"GWA1","2","A4","N","UNK tiny","SCOR",1
2011-09-20,"GWA1","2","A4","N","UNK tiny","UNKI",4
2011-09-20,"GWA2","1","A4","N","UNK tiny","ARAN",2
2011-09-20,"GWA2","1","A4","N","UNK tiny","COLE",13
2011-09-20,"GWA2","1","A4","N","UNK tiny","CRUS",1
2011-09-20,"GWA2","1","A4","N","UNK tiny","LEPI",1
2011-09-20,"GWA2","1","A4","N","UNK tiny","SCOR",1
2011-09-20,"GWA2","1","A4","N","UNK tiny","UNKI",12
2011-09-20,"GWA2","2","A4","Y",NA,"ARAN",1
2011-09-20,"GWA2","2","A4","Y",NA,"COLE",2
2011-09-20,"GWA2","2","A4","Y",NA,"HYMA",6
2011-09-20,"GWA2","2","A4","Y",NA,"SCOR",1
2011-09-21,"GWA1","1","A4","N","UNK=ant lion, lacewing, Neuroptera","ARAN",1
2011-09-21,"GWA1","1","A4","N","UNK=ant lion, lacewing, Neuroptera","COLE",5
2011-09-21,"GWA1","1","A4","N","UNK=ant lion, lacewing, Neuroptera","HYMA",1
2011-09-21,"GWA1","1","A4","N","UNK=ant lion, lacewing, Neuroptera","LEPI",1
2011-09-21,"GWA1","1","A4","N","UNK=ant lion, lacewing, Neuroptera","NEUR",3
2011-09-21,"GWA1","1","A4","N","UNK=ant lion, lacewing, Neuroptera","UNKI",1
2011-09-21,"GWA1","2","A4","Y",NA,"COLE",2
2011-09-21,"GWA1","2","A4","Y",NA,"LEPI",1
2011-09-21,"GWA2","1","A4","N",NA,"ARAN",2
2011-09-21,"GWA2","1","A4","N",NA,"COLE",6
2011-09-21,"GWA2","1","A4","N",NA,"HYMA",2
2011-09-21,"GWA2","1","A4","N",NA,"SOLI",1
2011-09-21,"GWA2","1","A4","N",NA,"THYS",1
2011-09-21,"GWA2","2","A4","N",NA,"COLE",3
2011-09-21,"GWA2","2","A4","N",NA,"CRUS",1
2011-09-21,"GWA2","2","A4","N",NA,"HYMA",3
2011-09-21,"GWA2","2","A4","N",NA,"SCOR",1
2011-09-22,"GWA1","1","A4","N",NA,"ARAN",1
2011-09-22,"GWA1","1","A4","N",NA,"COLE",12
2011-09-22,"GWA1","1","A4","N",NA,"HYMA",5
2011-09-22,"GWA1","2","A4","N","UNK=tiny","COLE",5
2011-09-22,"GWA1","2","A4","N","UNK=tiny","HYMA",1
2011-09-22,"GWA1","2","A4","N","UNK=tiny","UNKI",1
2011-09-22,"GWA2","1","A4","N",NA,"COLE",2
2011-09-22,"GWA2","1","A4","N",NA,"CRUS",2
2011-09-22,"GWA2","1","A4","N",NA,"HYMA",8
2011-09-22,"GWA2","1","A4","N",NA,"ORTH",1
2011-09-22,"GWA2","2","A4","N",NA,"ARAN",1
2011-09-22,"GWA2","2","A4","N",NA,"COLE",5
2011-09-22,"GWA2","2","A4","N",NA,"HYMA",3
2011-09-22,"GWA2","2","A4","N",NA,"NEUR",1
2011-09-23,"GWA1","1","A4","N","UNK=tiny","COLE",4
2011-09-23,"GWA1","1","A4","N","UNK=tiny","HYMA",3
2011-09-23,"GWA1","1","A4","N","UNK=tiny","NEUR",1
2011-09-23,"GWA1","1","A4","N","UNK=tiny","UNKI",1
2011-09-23,"GWA1","2","A4","N",NA,"COLE",2
2011-09-23,"GWA1","2","A4","N",NA,"HYMA",5
2011-09-23,"GWA1","2","A4","N",NA,"ORTH",1
2011-09-23,"GWA1","2","A4","N",NA,"SCOR",1
2011-09-23,"GWA2","1","A4","N",NA,"COLE",8
2011-09-23,"GWA2","1","A4","N",NA,"CRUS",1
2011-09-23,"GWA2","1","A4","N",NA,"HYMA",4
2011-09-23,"GWA2","1","A4","N",NA,"SCOR",2
2011-09-23,"GWA2","2","A4","N",NA,"COLE",5
2011-09-23,"GWA2","2","A4","N",NA,"HYMA",6
2011-09-27,"GWA1","1","B4","N",NA,"COLE",6
2011-09-27,"GWA1","1","B4","N",NA,"HYMA",1
2011-09-27,"GWA1","2","B4","N",NA,"COLE",6
2011-09-27,"GWA1","2","B4","N",NA,"HYMA",1
2011-09-27,"GWA1","2","B4","N",NA,"SCOR",1
2011-09-27,"GWA2","1","B4","Y",NA,"COLE",3
2011-09-27,"GWA2","1","B4","Y",NA,"SCOR",1
2011-09-27,"GWA2","2","B4","Y",NA,"ARAN",2
2011-09-27,"GWA2","2","B4","Y",NA,"COLE",4
2011-09-27,"GWA2","2","B4","Y",NA,"CRUS",1
2011-09-27,"GWA2","2","B4","Y",NA,"HYMA",2
2011-09-28,"GWA1","1","B4","N",NA,"ARAN",2
2011-09-28,"GWA1","1","B4","N",NA,"COLE",13
2011-09-28,"GWA1","1","B4","N",NA,"NEUR",2
2011-09-28,"GWA1","1","B4","N",NA,"UNKI",2
2011-09-28,"GWA1","2","B4","N",NA,"COLE",7
2011-09-28,"GWA1","2","B4","N",NA,"HYMA",4
2011-09-28,"GWA2","1","B4","N",NA,"COLE",1
2011-09-28,"GWA2","1","B4","N",NA,"SOLI",1
2011-09-28,"GWA2","2","B4","Y",NA,"COLE",5
2011-09-28,"GWA2","2","B4","Y",NA,"DIPT",1
2011-09-28,"GWA2","2","B4","Y",NA,"HYMA",5
2011-09-28,"GWA2","2","B4","Y",NA,"SCOR",1
2011-09-29,"GWA1","1","A4","N","Bucket A4 was listed, but may be a mistake","ARAN",1
2011-09-29,"GWA1","1","A4","N","Bucket A4 was listed, but may be a mistake","COLE",19
2011-09-29,"GWA1","1","A4","N","Bucket A4 was listed, but may be a mistake","HYMA",2
2011-09-29,"GWA1","2","A4","N","PSEU may be UNK (tiny)","COLE",6
2011-09-29,"GWA1","2","A4","N","PSEU may be UNK (tiny)","HYMA",3
2011-09-29,"GWA1","2","A4","N","PSEU may be UNK (tiny)","PSUE",1
2011-09-29,"GWA1","2","A4","N","PSEU may be UNK (tiny)","SCOR",2
2011-09-29,"GWA2","1","B4","Y",NA,"ARAN",2
2011-09-29,"GWA2","1","B4","Y",NA,"COLE",2
2011-09-29,"GWA2","1","B4","Y",NA,"HYMA",1
2011-09-29,"GWA2","1","B4","Y",NA,"SCOR",3
2011-09-29,"GWA2","2","B4","N",NA,"ARAN",1
2011-09-29,"GWA2","2","B4","N",NA,"COLE",6
2011-09-29,"GWA2","2","B4","N",NA,"CRUS",1
2011-09-29,"GWA2","2","B4","N",NA,"HYMA",8
2011-09-29,"GWA2","2","B4","N",NA,"SCOR",1
2011-09-30,"GWA1","1","B4","N",NA,"ARAN",1
